,id,FILING-DATE,CIK,CONFORMED-NAME,type,ASSIGNED-SIC,CITY,STATE,ZIP,filing-year,10k-min-year
30527,10979250,2016-07-14,1665421,High Desert Holding Corp.,S-1,,INCLINE VILLAGE,NV,89451,2016,2017.0
30536,10976843,2016-07-13,1604191,"AzurRx BioPharma, Inc.",S-1,2834.0,NEW YORK CITY,NY,10018,2016,2017.0
30539,10977435,2016-07-13,60714,LSB INDUSTRIES INC,S-1,2810.0,OKLAHOMA CITY,OK,73101,2016,2016.0
30544,10976501,2016-07-13,1584754,"Akoustis Technologies, Inc.",S-1,3661.0,HUNTERSVILLE,NC,28078,2016,2016.0
30545,10976509,2016-07-13,1533527,"Aegis Identity Software, Inc.",S-1,7372.0,ENGLEWOOD,CO,80110,2016,
30548,10975072,2016-07-12,1471824,Teucrium Commodity Trust,S-1,6221.0,BRATTLEBORO,VT,05301,2016,2016.0
30549,10975915,2016-07-12,1096275,"Franchise Holdings International, Inc.",S-1,7389.0,VAUGHAN,A6,L4K OB2,2016,2016.0
30550,10974909,2016-07-12,1484565,"Capnia, Inc.",S-1,3845.0,REDWOOD CITY,CA,94065,2016,2016.0
30551,10975953,2016-07-12,1668039,SolidX Bitcoin Trust,S-1,6221.0,NEW YORK,NY,10166,2016,
30557,10973328,2016-07-11,1377121,"Protagonist Therapeutics, Inc",S-1,2834.0,MALPITAS,CA,95035-7404,2016,2017.0
30559,10973438,2016-07-11,1600422,"Superior Drilling Products, Inc.",S-1,3533.0,VERNAL,UT,84078,2016,2016.0
30560,10971188,2016-07-08,1659183,"GO2GREEN LANDSCAPING, INC.",S-1,,GLENDALE,CA,91201,2016,2016.0
30562,10972502,2016-07-08,1639874,"Tech Central, Inc.",S-1,,BUFFALO,WY,82834,2016,2017.0
30565,10972646,2016-07-08,1275272,CBS Radio Inc.,S-1,,NEW YORK,NY,10019,2016,
30566,10971113,2016-07-08,36377,"FIRST HAWAIIAN, INC.",S-1,6022.0,HONOLULU,HI,96813,2016,2017.0
30568,10972152,2016-07-08,1677897,UPAY,S-1,,DALLAS,TX,75234,2016,2018.0
30569,10970874,2016-07-08,1678463,"Forterra, Inc.",S-1,,IRVING,TX,75062,2016,2017.0
30572,10963486,2016-07-05,1656589,FOTV Media Networks Inc.,S-1,7841.0,BEVERLY HILLS,CA,90210,2016,
30577,10961679,2016-07-01,1670592,"YETI Holdings, Inc.",S-1,3949.0,AUSTIN,TX,78735,2016,2019.0
30578,10960716,2016-07-01,924515,GUIDED THERAPEUTICS INC,S-1,3845.0,NORCROSS,GA,30092,2016,2016.0
30580,10960743,2016-07-01,1353611,CURRENCYSHARES BRITISH POUND STERLING TRUST,S-1,6221.0,ROCKVILLE,MD,20850,2016,2016.0
30582,10961043,2016-07-01,1669162,"Kinsale Capital Group, Inc.",S-1,6331.0,RICHMOND,VA,23230,2016,2017.0
30583,10962084,2016-07-01,1425205,"Lion Biotechnologies, Inc.",S-1,2836.0,NEW YORK,NY,10120,2016,2016.0
30588,10959391,2016-06-30,1545447,"Valmie Resources, Inc.",S-1,1040.0,HOUSTON,TX,77077,2016,2016.0
30592,10959469,2016-06-30,1649989,"Oncobiologics, Inc.",S-1,2836.0,CRANBURY,NJ,08512,2016,2016.0
30593,10958452,2016-06-30,1124524,"Cryoport, Inc.",S-1,3086.0,IRVINE,CA,92614,2016,2016.0
30594,10960250,2016-06-30,1665300,Stellar Acquisition III Inc.,S-1,6770.0,"MAROUSSI, ATHENS",J3,15125,2016,2017.0
30595,10958726,2016-06-30,1665988,Bioventus Inc.,S-1,3841.0,DURHAM,NC,27703,2016,
30596,10959534,2016-06-30,1420520,Atomera Inc,S-1,3674.0,LOS GATOS,CA,95032,2016,2017.0
30597,10959535,2016-06-30,1501432,Full Spectrum Inc.,S-1,3663.0,"MENLO PARK,",CA,94025,2016,
30639,10955719,2016-06-29,1676580,H/Cell Energy Corp,S-1,,DALLAS,TX,75219,2016,2017.0
30656,10953820,2016-06-28,1662684,KT High-Tech Marketing Inc.,S-1,6770.0,SARATOGA,CA,95070,2016,2016.0
30667,10950732,2016-06-27,1678105,Caro Holdings Inc.,S-1,,MAKATI CITY,R6,1230,2016,2017.0
30668,10950762,2016-06-27,1053369,ELITE PHARMACEUTICALS INC /NV/,S-1,2834.0,NORTHVALE,NJ,07647,2016,2016.0
30675,10950897,2016-06-27,1565228,"xG TECHNOLOGY, INC.",S-1,3669.0,SARASOTA,FL,34236,2016,2016.0
30676,10949919,2016-06-24,1668397,"Medpace Holdings, Inc.",S-1,8731.0,CINCINNATI,OH,45227,2016,2017.0
30681,10949289,2016-06-24,1537561,"Arch Therapeutics, Inc.",S-1,5531.0,FRAMINGHAM,MA,01702,2016,2016.0
30684,10948845,2016-06-24,1515740,PREMIER BIOMEDICAL INC,S-1,2836.0,EL PASO,TX,79930,2016,2016.0
30698,10946980,2016-06-23,1358356,"Porter Bancorp, Inc.",S-1,6021.0,LOUISVILLE,KY,40223,2016,2016.0
30707,10945379,2016-06-22,1622357,"Centennial Resource Development, Inc.",S-1,1311.0,DENVER,CO,80202,2016,
30711,10945161,2016-06-22,1585608,"Jaguar Animal Health, Inc.",S-1,2834.0,SAN FRANCISCO,CA,94105,2016,2016.0
30719,10943955,2016-06-21,1272550,"root9B Technologies, Inc.",S-1,8742.0,CHARLOTTE,NC,28211,2016,2016.0
30722,10943213,2016-06-21,1447380,MOBIVITY HOLDINGS CORP.,S-1,7372.0,CHANDLER,AZ,85225,2016,2016.0
30723,10943220,2016-06-21,1658651,"Anfield Acquisitions, Inc.",S-1,,SARATOGA SPRINGS,UT,84045,2016,
30729,10942344,2016-06-20,1672013,Acushnet Holdings Corp.,S-1,,FAIRHAVEN,MA,02719,2016,2017.0
30730,10942912,2016-06-20,1672985,Conyers Park Acquisition Corp.,S-1,6770.0,NEW YORK,NY,10019,2016,2017.0
30733,10939399,2016-06-17,1042418,"HedgePath Pharmaceuticals, Inc.",S-1,8731.0,TAMPA,FL,33606,2016,2016.0
30736,10940501,2016-06-17,1591165,Medovex Corp.,S-1,3841.0,ATLANTA,GA,30341,2016,2016.0
30740,10939807,2016-06-17,1455684,"TPI COMPOSITES, INC",S-1,3510.0,SCOTTSDALE,AZ,85253,2016,2017.0
30743,10940346,2016-06-17,1385818,"AYTU BIOSCIENCE, INC",S-1,2834.0,ENGLEWOOD,CO,80112,2016,2016.0
30744,10939598,2016-06-17,1557746,"Aclaris Therapeutics, Inc.",S-1,2834.0,MALVERN,PA,19355,2016,2016.0
30753,10939300,2016-06-16,1479247,United States Commodity Index Funds Trust,S-1,6221.0,WILMINGTON,DE,19801,2016,2016.0
30754,10938030,2016-06-16,1351573,Pocket Shot Co,S-1,,EVERGREEN,CO,80439,2016,2017.0
30755,10937027,2016-06-16,1425450,ORTHOPEDIATRICS CORP,S-1,3841.0,WARSAW,IN,46580,2016,2018.0
30756,10939595,2016-06-16,1465864,VANTAGE HOLDING HUNGARY KFT,S-1,1381.0,HOUSTON,TX,77056,2016,
30757,10937810,2016-06-16,1431934,OWC Pharmaceutical Research Corp.,S-1,3841.0,PETACH TIQWA,L3,4918103,2016,2016.0
30758,10938851,2016-06-16,764065,CLIFFS NATURAL RESOURCES INC.,S-1,1000.0,CLEVELAND,OH,44114-2315,2016,2016.0
30777,10935700,2016-06-15,1643930,Dynamic Enviro Inc.,S-1,,WAVELAND,MS,39520,2016,2017.0
30795,10934510,2016-06-14,949721,"Meridian Waste Solutions, Inc.",S-1,4950.0,MILTON,2Q,30004,2016,2016.0
30799,10931560,2016-06-13,1669779,"Camping World Holdings, Inc.",S-1,,LINCOLNSHIRE,IL,60048,2016,2017.0
30804,10931939,2016-06-13,1676852,"Glolex, Inc.",S-1,,POOLE,X0,BH16 6F,2016,2017.0
30805,10930979,2016-06-10,890447,Vertex Energy Inc.,S-1,2911.0,HOUSTON,TX,77058,2016,2016.0
30810,10930790,2016-06-10,1356564,"Leo Motors, Inc.",S-1,3711.0,SEOUL,M5,137-863,2016,2016.0
30813,10930295,2016-06-10,1629137,"Global Blood Therapeutics, Inc.",S-1,2834.0,SOUTH SAN FRANCISCO,CA,94080,2016,2016.0
30814,10929537,2016-06-10,1557142,"Kadmon Holdings, LLC",S-1,2834.0,NEW YORK,NY,10016,2016,2017.0
30819,10929578,2016-06-10,1520353,Mobad Service Corp,S-1,6770.0,VERO BEACH,FL,32963,2016,
30828,10926733,2016-06-08,1425565,"Real Goods Solar, Inc.",S-1,1700.0,LOUISVILLE,CO,80027,2016,2016.0
30840,10921783,2016-06-06,1675192,Ottawa Bancorp Inc,S-1,,OTTAWA,IL,61350,2016,2017.0
30844,10922590,2016-06-06,1650962,"Manitowoc Foodservice, Inc.",S-1,3580.0,NEW PORT RICHEY,FL,34655,2016,2016.0
30845,10922081,2016-06-06,1448431,OptimizeRx Corp,S-1,7389.0,ROCHESTER,MI,48307,2016,2016.0
30846,10922092,2016-06-06,927971,BANK OF MONTREAL /CAN/,S-1,6029.0,TORONTO,A6,M5X 1A1,2016,
30855,10922465,2016-06-06,1010086,SIGA TECHNOLOGIES INC,S-1,2834.0,NEW YORK,NY,10065,2016,2016.0
30858,10918167,2016-06-03,1556263,"Syros Pharmaceuticals, Inc.",S-1,2834.0,WATERTOWN,MA,02472,2016,2017.0
30860,10920243,2016-06-03,1668340,"Bancorp 34, Inc.",S-1,,ALAMOGORDO,NM,88310,2016,2017.0
30861,10918732,2016-06-03,1488039,ATOSSA GENETICS INC,S-1,3841.0,SEATTLE,WA,98102,2016,2016.0
30864,10920408,2016-06-03,1668082,BYLOG GROUP CORP.,S-1,,DALIAN CITY DISTRICT ZHONGSHAN,F4,116013,2016,2017.0
30865,10916362,2016-06-02,1643858,"Blue Coat, Inc.",S-1,7372.0,SUNNYVALE,CA,94085,2016,
30868,10917231,2016-06-02,1390131,BIOCRUDE TECHOLOGIES INC,S-1,,MARKHAM ONTARTIO CA,A6,00000,2016,
30869,10916282,2016-06-02,1114995,IMPINJ INC,S-1,3679.0,SEATTLE,WA,98109,2016,2017.0
30871,10917100,2016-06-02,1609472,GH Capital Inc.,S-1,,MIAMI,FL,33131,2016,2016.0
30873,10912818,2016-06-01,1130598,"Onconova Therapeutics, Inc.",S-1,2834.0,NEWTOWN,PA,18940,2016,2016.0
30875,10913851,2016-06-01,1674335,"JELD-WEN Holding, Inc.",S-1,,CHARLOTTE,NC,28202,2016,2017.0
30880,10914757,2016-06-01,822411,"ImmunoCellular Therapeutics, Ltd.",S-1,2834.0,CALABASAS,CA,91302,2016,2016.0
30900,10910886,2016-05-31,1674910,VALVOLINE INC,S-1,,LEXINGTON,KY,40509,2016,2016.0
30903,10912200,2016-05-31,1666487,"Stemcell Holdings, Inc.",S-1,6770.0,"MINAMIAOYAMA, MINATO-KU, TOKYO",M0,107-0062,2016,2017.0
30910,10907490,2016-05-27,1637207,"Planet Fitness, Inc.",S-1,7997.0,NEWINGTON,MA,03801,2016,2016.0
30916,10906786,2016-05-27,1335103,"Protea Biosciences Group, Inc.",S-1,2834.0,MORGANTOWN,WV,26505,2016,2016.0
30919,10906319,2016-05-27,1675583,ATLANTIC ACQUISITION INC.,S-1,,MIAMI LAKES,FL,33014,2016,2017.0
30923,10904837,2016-05-26,1627811,IEG Holdings Corp,S-1,6141.0,LAS VEGAS,NV,89103,2016,2016.0
30926,10902841,2016-05-26,1447669,TWILIO INC,S-1,7372.0,San Francisco,CA,94114,2016,2017.0
30932,10904948,2016-05-26,1285550,"MRI INTERVENTIONS, INC.",S-1,3841.0,IRVINE,CA,92618,2016,2016.0
30940,10904521,2016-05-26,1414374,Paragon Commercial CORP,S-1,6022.0,Raleigh,NC,27612,2016,2017.0
30942,10904830,2016-05-26,1672773,"SQN Asset Income Fund V, L.P.",S-1,,NEW YORK,NY,10005,2016,2017.0
30947,10901830,2016-05-25,1563922,Greenbacker Renewable Energy Co LLC,S-1,4911.0,NEW YORK,NY,10017,2016,2016.0
30964,10898045,2016-05-24,1453687,SELECTA BIOSCIENCES INC,S-1,2834.0,WATERTOWN,MA,02472,2016,2017.0
30970,10897165,2016-05-23,1424549,FUTURELAND CORP.,S-1,5900.0,ST. PETERSBURG,FL,33716,2016,2016.0
30976,10896252,2016-05-23,883975,STEMCELLS INC,S-1,2836.0,PALO ALTO,CA,94304,2016,2016.0
30977,10897027,2016-05-23,1269026,AMEDICA Corp,S-1,3841.0,SALT LAKE CITY,UT,84119,2016,2016.0
30979,10896290,2016-05-23,1674552,Highland Acquisition Corp,S-1,,DALLAS,TX,75201,2016,
30990,10892879,2016-05-20,931059,"Rennova Health, Inc.",S-1,7374.0,WEST PALM BEACH,FL,33401,2016,2016.0
31013,10892080,2016-05-19,1635136,DUO WORLD INC,S-1,,COLOMBO,F1,00300,2016,2017.0
31022,10891713,2016-05-19,1639498,AgEagle Aerial Systems Inc.,S-1,3721.0,NEODOSHA,KS,66757,2016,
31034,10887322,2016-05-17,1109196,"MABVAX THERAPEUTICS HOLDINGS, INC.",S-1,2834.0,SAN DIEGO,CA,92121,2016,2016.0
31036,10885609,2016-05-17,1543739,APT Systems Inc,S-1,8742.0,SAN FRANCISCO,CA,94111,2016,2016.0
31044,10882897,2016-05-16,1645926,Multi Packaging Solutions International Ltd,S-1,2650.0,NEW YORK,NY,10022,2016,2016.0
31048,10884806,2016-05-16,1634291,"Opulent Acquisition, Inc.",S-1,6770.0,CRANSTON,RI,02910,2016,2016.0
31050,10877473,2016-05-13,1037649,INTERLEUKIN GENETICS INC,S-1,2835.0,WATHAM,MA,02452,2016,2016.0
31052,10877765,2016-05-13,1512138,"Great Basin Scientific, Inc.",S-1,3841.0,SALT LAKE CITY,UT,84111,2016,2016.0
31053,10878022,2016-05-13,1609989,"Blue Buffalo Pet Products, Inc.",S-1,2000.0,WILTON,CT,06897,2016,2016.0
31060,10878383,2016-05-13,1665840,Natural Destiny Inc.,S-1,,"JIANDE CITY, ZHEJIANG PROVINCE",F4,311600,2016,2017.0
31064,10879452,2016-05-13,1361540,"GLOBALINK, LTD.",S-1,7389.0,VANCOUVER,A1,V5K 4S1,2016,2016.0
31065,10874375,2016-05-12,1013238,ARADIGM CORP,S-1,3845.0,HAYWARD,CA,94545,2016,2016.0
31070,10871597,2016-05-11,1610764,Amchi Gendynamy Science Corp,S-1,6770.0,BREA,CA,92821,2016,2016.0
31071,10871393,2016-05-11,1494162,KinerjaPay Corp.,S-1,3674.0,MEDAN,K8,20151,2016,2016.0
31072,10871659,2016-05-11,1317839,Umatrin Holding Ltd,S-1,7389.0,KUALA LUMPUR,N8,57000,2016,2016.0
31075,10868484,2016-05-10,1161582,"GROWLIFE, INC.",S-1,3231.0,SEATTLE,WA,98101,2016,2016.0
31088,10863209,2016-05-09,1534525,"Xenetic Biosciences, Inc.",S-1,2834.0,LEXINGTON,MA,02421,2016,2016.0
31089,10864054,2016-05-09,1618673,Performance Food Group Co,S-1,5141.0,RICHMOND,VA,23238,2016,2016.0
31091,10864355,2016-05-09,1527469,Athene Holding Ltd,S-1,,PEMBROKE,D0,HM08,2016,2017.0
31092,10864635,2016-05-09,1566826,"Nxt-ID, Inc.",S-1,7381.0,MELBOURNE,FL,32934,2016,2016.0
31093,10860291,2016-05-06,1673731,"Atlan Media, Inc.",S-1,,SYDNEY,C3,2000,2016,
31096,10860364,2016-05-06,1084752,"Inventergy Global, Inc.",S-1,4813.0,CAMPBELL,CA,95008,2016,2016.0
31097,10861190,2016-05-06,1566469,"Nant Health, LLC",S-1,7374.0,CULVER CITY,CA,90232,2016,2017.0
31102,10862043,2016-05-06,1520108,Spiral Toys Inc.,S-1,3944.0,WESTLAKE VILLAGE,CA,91361,2016,2016.0
31103,10861282,2016-05-06,1403853,"Nuverra Environmental Solutions, Inc.",S-1,1389.0,SCOTTSDALE,AZ,85254,2016,2016.0
31108,10857443,2016-05-05,1640313,"Amplify Snack Brands, INC",S-1,2000.0,AUSTIN,TX,78701,2016,2016.0
31110,10852384,2016-05-04,1610853,"HELIUS MEDICAL TECHNOLOGIES, INC.",S-1,3845.0,NEWTOWN,PA,18940,2016,2016.0
31113,10854622,2016-05-04,1299139,TearLab Corp,S-1,3841.0,SAN DIEGO,CA,92121,2016,2016.0
31118,10847031,2016-05-02,1495536,"Ener-Core, Inc.",S-1,2890.0,IRVINE,CA,92618,2016,2016.0
31119,10848058,2016-05-02,1672571,Achison Inc,S-1,,FLUSHING,NY,11354,2016,2018.0
31120,10847807,2016-05-02,1670961,Global Cosmetics Inc.,S-1,,"KENSINGTON, LONDON",X0,W8 4SG,2016,2018.0
31124,10847844,2016-05-02,1309082,"LUCAS ENERGY, INC.",S-1,1311.0,HOUSTON,TX,77067,2016,2016.0
31127,10845073,2016-05-02,1495648,"Brisset Beer International, Inc.",S-1,1311.0,MONTREAL,A8,H3J-1S6,2016,2016.0
31137,10843652,2016-04-29,1487197,BARFRESH FOOD GROUP INC.,S-1,2030.0,BEVERLY HILLS,CA,90211,2016,2017.0
31142,10839322,2016-04-29,1437491,"Ecoark Holdings, Inc.",S-1,3674.0,WOBURN,MA,01801,2016,2016.0
31143,10843724,2016-04-29,1285550,"MRI INTERVENTIONS, INC.",S-1,3841.0,IRVINE,CA,92618,2016,2016.0
31147,10839420,2016-04-29,1657197,"Cotiviti Holdings, Inc.",S-1,7389.0,ATLANTA,GA,30346,2016,2017.0
31149,10842033,2016-04-29,1639300,"Ollie's Bargain Outlet Holdings, Inc.",S-1,5331.0,HARRISBURG,PA,17112,2016,2016.0
31151,10843623,2016-04-29,1613899,"Koolbridge Solar, Inc.",S-1,,WRIGHTSVILLE BEACH,NC,28480,2016,
31158,10835593,2016-04-28,1653247,"Landcadia Holdings, Inc.",S-1,6770.0,HOUSTON,TX,77027,2016,2017.0
31159,10836622,2016-04-28,1179500,COMMUNITY FIRST INC,S-1,6022.0,COLUMBIA,TN,38401,2016,2016.0
31162,10835620,2016-04-28,1124524,"Cryoport, Inc.",S-1,3086.0,IRVINE,CA,92614,2016,2016.0
31168,10837949,2016-04-28,1407704,"LINGERIE FIGHTING CHAMPIONSHIPS, INC.",S-1,3640.0,LAS VEGAS,NV,89149,2016,2016.0
31172,10832128,2016-04-27,1671686,USCF Funds Trust,S-1,6221.0,OAKLAND,CA,94612,2016,2018.0
31176,10831547,2016-04-27,1665598,"RC-1, Inc.",S-1,,NEWPORT BEACH,CA,92658,2016,2017.0
31180,10833402,2016-04-27,1664576,"New Gold Discoveries, Inc.",S-1,,SAN JUAN CAPISTRANO,CA,92675,2016,
31184,10829396,2016-04-26,771856,"CHAMPIONS ONCOLOGY, INC.",S-1,2836.0,BALTIMORE,MD,21205,2016,2016.0
31186,10830431,2016-04-26,1630113,BIOTRICITY INC.,S-1,3841.0,TORONTO,A6,M9W 6L9,2016,2017.0
31189,10830720,2016-04-26,1671077,MED SPA VACATIONS INC.,S-1,,LA JOLLA,CA,92037,2016,2017.0
31194,10828158,2016-04-25,1672572,Landbay Inc,S-1,,FLUSHING,NY,11354,2016,2017.0
31206,10825794,2016-04-22,1614466,Kibush Capital Corp,S-1,1400.0,SCOTTSDALE,AZ,85250,2016,2016.0
31209,10824420,2016-04-22,1612047,PERFORMANCE HEALTH HOLDINGS CORP.,S-1,2834.0,AKRON,OH,44310,2016,
31211,10822741,2016-04-21,1522222,"CLS Holdings USA, Inc.",S-1,5900.0,BOULDER,CO,80304,2016,2016.0
31215,10823859,2016-04-21,1672255,"Asia Training Institute US, Inc.",S-1,,WHITTIER,CA,90605,2016,2017.0
31216,10823860,2016-04-21,1634293,"Exceed World, Inc.",S-1,6770.0,OSAKA,M0,564-0063,2016,2016.0
31217,10823638,2016-04-21,1668428,CF Corp,S-1,6770.0,NEW YORK,NY,10022,2016,2017.0
31220,10821211,2016-04-20,1355790,International Stem Cell CORP,S-1,2834.0,CARLSBAD,CA,92008,2016,2016.0
31237,10819012,2016-04-19,1652362,M III Acquisition Corp.,S-1,6770.0,NEW YORK,NY,10019,2016,2017.0
31240,10819803,2016-04-19,879682,"VIVEVE MEDICAL, INC.",S-1,3845.0,SUNNYVALE,CA,94086,2016,2016.0
31243,10819625,2016-04-18,1498232,"TripBorn, Inc.",S-1,6770.0,AHMEDABAD,K7,380 015,2016,2017.0
31244,10816815,2016-04-18,1638287,Gemphire Therapeutics Inc.,S-1,2834.0,NORTHVILLE,MI,48167,2016,2017.0
31245,10816819,2016-04-18,839470,URANIUM RESOURCES INC /DE/,S-1,1000.0,CENTENNIAL,CO,80112,2016,2016.0
31252,10817177,2016-04-18,1429386,"PHASERX, INC.",S-1,2834.0,SEATTLE,WA,98119,2016,2017.0
31253,10817950,2016-04-18,1392902,"Endurance Exploration Group, Inc.",S-1,1000.0,CLEARWATER,FL,33760,2016,2016.0
31254,10817983,2016-04-18,1091491,HCSB FINANCIAL CORP,S-1,6035.0,LORIS,SC,29569,2016,2016.0
31265,10816335,2016-04-15,1572565,Indoor Harvest Corp,S-1,3590.0,HOUSTON,TX,77020,2016,2016.0
31273,10816124,2016-04-15,1443089,MEDICAL ALARM CONCEPTS HOLDINGS INC,S-1,3669.0,KING OF PRUSSIA,PA,19406,2016,2016.0
31278,10814870,2016-04-15,1394872,Ambient Water Corp,S-1,3585.0,SPOKANE VALLEY,WA,99212,2016,2016.0
31318,10814222,2016-04-14,1433607,"InspireMD, Inc.",S-1,3841.0,BOSTON,MA,02116,2016,2016.0
31414,10813538,2016-04-14,1104038,"VerifyMe, Inc.",S-1,6794.0,NEW YORK,NY,10010,2016,2016.0
31595,10810271,2016-04-13,1671686,USCF Funds Trust,S-1,,OAKLAND,CA,94612,2016,2018.0
31613,10809468,2016-04-12,1558009,EPIC STORES CORP.,S-1,5900.0,PHOENIX,AZ,85027,2016,2016.0
31626,10808295,2016-04-12,1671679,Next Gen Water Corp Ltd.,S-1,,NORTH POINT,K3,00000,2016,
31628,10807604,2016-04-11,1386936,GOLD LAKES CORP.,S-1,1000.0,BEACHWOOD,OH,44122,2016,2016.0
31629,10806581,2016-04-11,1669792,"AdvancePierre Foods Holdings, Inc.",S-1,,BLUE ASH,OH,45242,2016,2017.0
31630,10806582,2016-04-11,1466026,"Midland States Bancorp, Inc.",S-1,6022.0,EFFINGHAM,IL,62401,2016,2017.0
31635,10806620,2016-04-11,1135202,EL CAPITAN PRECIOUS METALS INC,S-1,1000.0,PRESCOTT,AZ,86305,2016,2016.0
31639,10807195,2016-04-11,1652130,"Intellia Therapeutics, Inc.",S-1,2835.0,CAMBRIDGE,MA,02139,2016,2017.0
31646,10806263,2016-04-11,1589149,"MassRoots, Inc.",S-1,7370.0,DENVER,CO,80202,2016,2016.0
31655,10804874,2016-04-08,1629261,Long Island Iced Tea Corp.,S-1,2080.0,HICKSVILLE,NY,11801,2016,2016.0
31659,10804140,2016-04-08,72499,ALLIANZ LIFE INSURANCE CO OF NORTH AMERICA,S-1,6311.0,MINNEAPOLIS,MN,55416,2016,
31660,10804144,2016-04-08,80019,ALLIANZ LIFE INSURANCE CO OF NEW YORK,S-1,,GOLDEN VALLEY,MN,55308,2016,
31663,10805451,2016-04-08,812796,"SOLIGENIX, INC.",S-1,2834.0,PRINCETON,NJ,08540,2016,2016.0
31670,10805237,2016-04-08,1538928,Viamet Pharmaceuticals Holdings LLC,S-1,2834.0,DURHAM,NC,27703,2016,
31688,10801022,2016-04-06,1095981,"CYTORI THERAPEUTICS, INC.",S-1,3841.0,SAN DIEGO,CA,92121,2016,2016.0
31697,10799178,2016-04-05,1497350,"inVentiv Group Holdings, Inc.",S-1,,BOSTON,MA,02110,2016,
31710,10795385,2016-04-04,1385508,"OPIANT PHARMACEUTICALS, INC.",S-1,1000.0,NEW YORK,NY,10022,2016,2016.0
31718,10795462,2016-04-04,1657564,Gabbit Corp.,S-1,,HENDERSON,NV,89074,2016,2017.0
31726,10793531,2016-04-01,1578305,"XLI Technologies, Inc.",S-1,1040.0,LAS VEGAS,NV,89118,2016,
31727,10791499,2016-04-01,1667615,3AM TECHNOLOGIES INC,S-1,,LAS VEGAS,NV,89169,2016,2019.0
31740,10793356,2016-04-01,1403802,"SPINDLE, INC.",S-1,7389.0,SCOTTSDALE,AZ,85255,2016,2016.0
31754,10788120,2016-03-31,1074828,VISUALANT INC,S-1,3829.0,SEATTLE,WA,98101,2016,2017.0
31756,10787888,2016-03-31,1665658,"CommerceHub, Inc.",S-1,,ALBANY,NY,12203,2016,2017.0
31758,10787897,2016-03-31,1670538,MON SPACE NET INC.,S-1,,PETALING JAYA,N8,46200,2016,2017.0
31765,10792021,2016-03-31,1472494,"United States Brent Oil Fund, LP",S-1,6221.0,OAKLAND,CA,94612,2016,2016.0
31766,10792022,2016-03-31,1396877,"United States Diesel-Heating Oil Fund, LP",S-1,6221.0,OAKLAND,CA,94612,2016,2016.0
31767,10790235,2016-03-31,1610607,"Spirit International, Inc.",S-1,5180.0,LAS VEGAS,NV,89128,2016,2016.0
31831,10786575,2016-03-30,1562577,MEMBERS Life Insurance Co,S-1,6311.0,MADISON,WI,53705,2016,
32038,10784095,2016-03-30,1670171,United Guaranty Corp.,S-1,,GREENSBORO,NC,27401,2016,
32187,10785431,2016-03-30,1634421,OGL Holdings Ltd.,S-1,6770.0,HUAI RIVER TOWN 57,F4,00000,2016,2016.0
32378,10787039,2016-03-30,1081745,"INTELLINETICS, INC.",S-1,7372.0,COLUMBUS,OH,43228,2016,2016.0
32549,10780769,2016-03-29,1590715,"NGFC Equities, Inc.",S-1,7600.0,MIAMI BEACH,FL,33141,2016,2017.0
32609,10781870,2016-03-29,1669513,APP Incline Corp,S-1,,GROVER BEACH,CA,93433,2016,2016.0
32776,10778021,2016-03-28,1670196,Deseo Swimwear Inc.,S-1,,SAN DIEGO,CA,92102,2016,2017.0
32840,10777635,2016-03-25,1517681,Propanc Health Group Corp,S-1,2834.0,"CAMBERWELL, VICTORIA",C3,3124,2016,2016.0
32976,10774546,2016-03-24,924515,GUIDED THERAPEUTICS INC,S-1,3845.0,NORCROSS,GA,30092,2016,2016.0
33014,10775116,2016-03-24,1669600,"Liberty Expedia Holdings, Inc.",S-1,,ENGLEWOOD,CO,80112,2016,2017.0
33140,10772288,2016-03-23,1429401,TIAA-CREF Life Insurance CO,S-1,6311.0,NEW YORK,NY,10017-3206,2016,
33201,10772384,2016-03-23,1535365,iSHARES COMMODITY OPTIMIZED TRUST,S-1,6221.0,SAN FRANCISCO,CA,94105,2016,2016.0
33255,10769931,2016-03-22,726293,"NABUfit Global, Inc.",S-1,100.0,LEHI,UT,84043,2016,2017.0
33283,10771060,2016-03-22,1299139,TearLab Corp,S-1,3841.0,SAN DIEGO,CA,92121,2016,2016.0
33301,10770622,2016-03-22,1658880,BARE METAL STANDARD INC.,S-1,,BOISE,ID,83709,2016,2018.0
33305,10771160,2016-03-22,1287900,"T-REX OIL, INC.",S-1,1311.0,BROOMFIELD,CO,80021,2016,2016.0
33318,10766862,2016-03-21,1405513,"United States 12 Month Natural Gas Fund, LP",S-1,6221.0,OAKLAND,CA,94612,2016,2016.0
33324,10767418,2016-03-21,1439567,"United States Short Oil Fund, LP",S-1,6221.0,OAKLAND,CA,94612,2016,2016.0
33334,10768002,2016-03-21,1666961,Precious Metals Exploration Corp.,S-1,,SANDTON,T3,2198,2016,
33351,10766834,2016-03-21,1389128,Equinox Frontier Long/Short Commodity Fund,S-1,6211.0,DENVER,CO,80203,2016,2017.0
33405,10764469,2016-03-18,835357,MONY LIFE INSURANCE CO OF AMERICA,S-1,6311.0,NEW YORK,NY,10104,2016,
33471,10758961,2016-03-16,1516805,"Moxian, Inc.",S-1,7370.0,SHENZHEN,F4,518033,2016,2016.0
33637,10758021,2016-03-15,1669400,Armeau Brands Inc.,S-1,,TORONTO,A6,M6B 3H2,2016,2017.0
